iso3,name,latitude,longitude,landlocked,region,subregion,gdp_per_capita,trade_share,urbanization,agriculture_share,population,dist_equator,tropical,dist_equator_sq,log_gdp,log_population,log_trade,agri_x_landlocked,trade_x_urban,region_encoded,high_income,cluster
CIV,Ivory Coast,8.0,-5.0,0,Africa,Western Africa,2141.76836170115,44.6604105830795,51.3514799771241,15.6882063635315,28193009,8.0,1,64.0,7.669387104030772,17.154584597372704,3.8212316332443015,0.0,2293.3781798271484,0,0,0
ITA,Italy,42.83333333,12.83333333,0,Europe,Southern Europe,33812.788724868,58.6941902594738,69.5050010681153,1.81866879873849,59729081,42.83333333,0,1834.6944441588892,10.428594374550325,17.905329578686892,4.089234700076384,0.0,4079.5397566768893,3,1,1
KGZ,Kyrgyzstan,41.0,75.0,1,Asia,Central Asia,1421.99927504102,94.4302823542939,34.8805205758044,10.3739026248931,6590211,41.0,0,1681.0,7.259819100546615,15.701095924175526,4.558395953182973,10.3739026248931,3293.777406637967,2,0,0
ARE,United Arab Emirates,24.0,54.0,0,Asia,Western Asia,45938.6073581994,163.822152944853,85.0298263388195,0.734628769937638,9445785,24.0,0,576.0,10.735061161421376,16.061079168222147,5.104867031650441,0.0,13929.769215352379,2,1,1
TZA,Tanzania,-6.0,35.0,0,Africa,Eastern Africa,1063.32250976563,33.0185892502311,33.3475258518752,26.5943119516018,59174891,6.0,1,36.0,6.969153728155179,17.89600787136854,3.526907117860709,0.0,1101.08825861453,0,0,0
AGO,Angola,-12.5,18.5,0,Africa,Middle Africa,2493.67884440177,60.7148243336685,66.6637823180533,12.3911585673156,32375632,12.5,1,156.25,7.8215143466578585,17.29291659902896,4.122524166779599,0.0,4047.479832858522,0,0,1
TGO,Togo,8.0,1.16666666,0,Africa,Western Africa,826.255209019798,56.3421740349757,41.445731197295,19.5145900500186,8463068,8.0,1,64.0,6.716903695557277,15.95122231359574,4.04903637454247,0.0,2335.1426001248165,0,0,0
FIN,Finland,64.0,26.0,0,Europe,Northern Europe,48358.1807773701,80.5641502947367,72.7431214358314,2.18977184111891,5521606,64.0,0,4096.0,10.78639068568719,15.524179317966839,4.401389830811006,0.0,5860.487768264604,3,1,1
MWI,Malawi,-13.5,34.0,1,Africa,Eastern Africa,580.889139762475,44.1954524635798,16.1383746619001,22.9473991790142,19025752,13.5,1,182.25,6.364559929286583,16.761303987869095,3.810996472563903,22.9473991790142,713.2427702094467,0,0,0
MLI,Mali,17.0,-4.0,1,Africa,Western Africa,971.949318638092,53.9987132798636,28.3520715749509,32.2682205547332,21068405,17.0,1,289.0,6.879303661782198,16.863285082867517,4.007309790047235,32.2682205547332,1530.9753838659447,0,0,0
UZB,Uzbekistan,41.0,64.0,1,Asia,Central Asia,2041.38480729431,64.9639227632407,50.5920104980469,21.8419117411197,32964701,41.0,0,1681.0,7.621383683644413,17.310947880262404,4.189107967773241,21.8419117411197,3286.655462432182,2,0,0
SEN,Senegal,14.0,-14.0,0,Africa,Western Africa,1431.18128932159,64.2362506061005,49.9443321273477,14.8962721234445,16352922,14.0,1,196.0,7.2662554586892565,16.609917154936138,4.17801530531805,0.0,3208.236634886623,0,0,0
UGA,Uganda,1.0,32.0,1,Africa,Eastern Africa,822.171150036357,39.3610539647435,27.8369781799403,22.9455088065564,42999637,1.0,1,1.0,6.71194858510619,17.57670223176174,3.697865309236203,22.9455088065564,1095.6928003560174,0,0,0
DJI,Djibouti,11.5,43.0,0,Africa,Eastern Africa,2837.16902340932,320.93923036418,71.7418146554518,1.51935229833123,1088709,11.5,1,132.25,7.950562011253851,13.90050314857525,5.774362802156415,0.0,23024.76278045035,0,0,2
JPN,Japan,36.0,138.0,0,Asia,Eastern Asia,40415.9567649547,35.2164181084145,91.7164207898107,1.03894744464527,126633000,36.0,0,1296.0,10.60697995539892,18.65680369721463,3.5895125549205202,0.0,3229.9238219412537,2,1,1
OMN,Oman,21.0,57.0,0,Asia,Western Asia,19180.1864152801,86.4782010313236,79.5780017545962,1.99471933938581,4591241,21.0,1,441.0,9.861633067643591,15.339660915863616,4.471389631254681,0.0,6881.7624334049915,2,1,1
